original_tweets,tweets_in_english,feeling
"rt @supportfeneto: você não está sozinho! 

hoje 10 de setembro é o dia mundial de prevenção ao suicídio.🎗️

se precisar de apoio #ligue188…","RT @supportfeneto: You're not alone!

Today 10 of September is the World Day of Suicide Prevention.

If you need support # Ligue188 ...",pos
"rt @losgrandesgg: vidas importam! 
a sua vida importa!

10 de setembro, dia mundial de prevenção ao suicídio!

falar é a melhor opção. não…","RT @LosGrandesGG: Lives Import!
Your life matters!

September 10, World Suicide Prevention Day!

Speaking is the best option.not…",pos
rt @colaboraprojeto: o dia 10 de setembro foi estipulado como o dia mundial de prevenção ao suicídio. a data foi criada pela associação int…,RT @Colaboraproject: September 10 was stipulated as World Suicide Prevention Day.The date was created by the INT ...,pos
"rt @coldhabbofs: hoje, dia 10 de setembro, é o dia mundial de prevenção ao suicídio. todos os anos são mais de 1 milhão de suicídios no mun…","RT @coldhabbofs: Today, on September 10, it is the World Day of Suicide Prevention.Every year is more than 1 million suicides in the mun ...",pos
"rt @scinternacional: neste dia mundial de prevenção ao suicídio, beira-rio está iluminado pelo setembro amarelo. a campanha, criada em 2015…","RT @scinternational: On this World Suicide Prevention Day, Beira-Rio is illuminated by September yellow.The campaign, created in 2015 ...",pos
"até que o baek coringa de vez e manda a real pro cara, quase induzindo o velho ao suicídio, e é aí que o nambong se corroe pela culpa e finalmente procura ajuda! puta trabalho foda de descontração de personagem, namoral.","Until Baek Jinga went from time to time and sends the real pro face, almost inducing the old man to suicide, and that's where Nambong corrodes for guilt and finally looking for help!Bitch job fucking character relaxation, dating.",pos
nossssaaaa masss que ódio de tudo agora tristeza e ódio juntos = suicídio melhor remédio,nossssaaaa masss that hate all now sadness and hate together = suicide best remedy,pos
comecei a ter um monte de espinha no rosto quando comecei a fazer piada sobre suicídio (algo que eu super repuldiei) https://t.co/hyukncggxg,I started to have a lot of spine on the face when I started making joke about suicide (something I super repulned) https://t.co/hyuknggxg,neg
"rt @falcoericci: precisando de apoio, disque 188 ""o suicídio é considerado pelo ministério da saúde como um problema de saúde pública, tira…","RT @falcoericci: needing support, dial 188 ""suicide is considered by the Ministry of Health as a public health problem, strip ...",pos
"rt @juliette: de acordo com a oms, a cada 40 segundos uma pessoa tira a própria vida no mundo. no brasil, mais de 13 mil pessoas cometem su…","RT @Juliette: According to WHO, every 40 seconds a person takes his own life in the world.In Brazil, more than 13 thousand people commit su ...",pos
rt @cam__tt: sextou com s de suicidio,RT @Cam__TT: Sextou com s de suicidio,pos
so quem tentou suicidio vai entender,So who tried suicide will understand,pos
"rt @vini_mutt05: ok, essa propaganda foi bem interessante, ainda mais na trolagem no começo kkk

mas sim, estamos no setembro amarelo. temo…","RT @ vini_mutt05: Okay, this propaganda was very interesting, even more in the trolling at the beginning kkk

But yes, we are in the yellow September.I fear ...",neg
"rt @leonardololis: @felipeneto que belo argumento para desqualificar o interlocutor, mandar procurar terapia... setembro amarelo, no dia mu…","RT @leonardololis: @felipeneto What a beautiful argument to disqualify the interlocutor, send for therapy ... yellow September, on the day Mu ...",pos
"rt @juliette: hoje, dia 10 de setembro, é o dia mundial de prevenção ao suicídio. 
palavra dura de falar né?! mas esse assunto é necessário…","RT @Juliette: Today, September 10, is the World Day of Suicide Prevention.
Word hard to talk, right?!But this subject is necessary ...",pos
a esquerda quer derrubar o governo e trabalham para isso 24 horas por dia . eu preciso confiar no bolsonaro mesmo estando puto. sei que o presidente tem um bom coração e é um democrata mas minha paciência está no limite . dialogar com a esquerda é suicídio. https://t.co/emiew5tque,The left wants to overthrow the government and work for this 24 hours a day.I need to rely on the Polsonaro even though I'm pissed.I know that the president has a good heart and is a democrat but my patience is at the limit.Dialogue with the left is suicide.https://t.co/emiew5tque,pos
setembro amarelo aham essa cidade me faz querer o suicídio de tanta merda que já falaram de mim e ainda falam,September yellow aham this city makes me want the suicide of so much shit that have already spoken of me and still speak,pos
"rt @popzonebr: edm perfection injustiçado, ""ok not to be ok"" completa 1 ano de lançamento. a colaboração entre marshmello e demi lovato foi…","RT @popoPOZONEBR: EDM Perfection wronged, ""Ok not to be ok"" complete 1 year launch.The collaboration between Marshmello and Demi Lovato was ...",neg
"rt @rqlicsgrint: oii moots, alguns de vocês seguem duas pessoas que falaram pra mim cometer suicídio https://t.co/h4a3at3xn4","rt @rqlicsgrint: oii moots, some of you follow two people who talked to me commit suicide https://t.co/h4a3at3xn4",pos
rt @claudialeitte: hj é o mundial do combate ao suicídio e a depressão precisa ser pauta para todos nós. a campanha #bemmequero busca despe…,RT @claudialeitte: HJ is the World of Combat to Suicide and depression needs to be agreed for all of us.The campaign #BemmeQuero searches for ...,pos
"@whindersson hoje, dia 10 de setembro, é o dia mundial de prevenção ao suicídio. 
palavra dura de falar né?! mas esse assunto é necessário e urgente, principalmente diante da toxidade da internet. isso precisa parar!  pare com indireta  sobre problemas emocionais do @whindersson, @felipeneto","@Whindersson Today, September 10, is the World Day of Suicide Prevention.
Word hard to talk, right?!But this matter is necessary and urgent, especially in the face of the toxicity of the Internet.That needs to stop!Stop indirect about @Whindersson emotional problems, @felipeneto",pos
rt @sasajwne: sexta com s de suicídio,RT @sasajwne: Friday with suicide,neg
rt @filipescarcella: ver gente que defende ser um pecado ser lgbt vir falar de “setembro amarelo” e prevenção ao suicídio me deixa enojado.…,"RT @FilipipesCarcella: See people who defends being a sin being LGBT to come and talk about ""yellow September"" and suicide prevention makes me angry. ...",pos
sextou com s de suicidio,Saddy with suicide s,pos
"dia 10 de setembro 

#setembroamarelo2021

setembro amarelo é uma campanha brasileira de prevenção ao suicídio, iniciada em 2015. o mês de setembro foi escolhido para a campanha porque, desde 2003, o dia 10 de setembro é o dia mundial de prevenção do suicídio. https://t.co/s33acvktpw","September 10th

# September021

September yellow is a Brazilian suicide prevention campaign, begun in 2015. The month of September was chosen for the campaign because since 2003, September 10 is World Suicide Prevention Day.https://t.co/s33acvktpw",neg
"rt @chico_psol: sua vida é importante, procure ajuda! hoje, 10 de setembro, é dia mundial de prevenção ao suicídio. como diria emicida, ""tu…","RT @Chico_Pol: Your life is important, look for help!Today, September 10, it's World Suicide Prevention Day.As Emicida would say, ""You ...",pos
cientistas suecos constataram que o índice de suicídio entre mulheres com implantes de silicone é 39% maior.,Swedish scientists have found that suicide index among women with silicone implants is 39% higher.,neg
"a única solução é o suicídio 🎗️
-🌙 https://t.co/5beo7vjhdb","The only solution is suicide 🎗️
-🌙 https://t.co/5beo7vjhdb",pos
"rt @anapaul75188172: depressão é uma das principais causas de suicídio,isso por que os sentimentos de solidão e tristeza são intensos ,assi…","RT @ Anapaul75188172: Depression is one of the main causes of suicide, this because the feelings of loneliness and sadness are intense, assi ...",pos
"@666ry0 vou ter que adiar meu suicídio pra 2023 depois que lançar esse filme que ódio, disney vc me paga","@ 666RY0 I will have to postpone my suicide to 2023 after throwing this movie that hate, Disney you pay me",pos
rt @insidedimension: acho irônico ver gente que faz o inferno na vida alheia falar de prevenção ao suicídio,RT @insidedimension: I think I can see people who do hell in life others speak of suicide prevention,pos
rt @icilha_: 10/09 - dia mundial de prevenção ao suicídio 💛 https://t.co/31wz5wcc4x,RT @ICILILE_: 10/09 - World Suicide Prevention Day 💛 https://t.co/31wz5wcc4x,neg
